date,open,high,low,close,volume,change_ratio
20150226,47850,48500,47150,47750,121810,0.2098635886673662
20150227,47900,48500,47450,48400,102141,1.3612565445026177
20150302,48550,48650,46850,47150,92784,-2.5826446280991737
20150303,47750,48150,46200,47000,97026,-0.3181336161187699
20150304,47100,47400,46700,47300,65497,0.6382978723404255
20150305,47250,48150,47250,47550,88098,0.5285412262156448
20150306,47800,48600,47600,47600,82456,0.10515247108307045
20150309,47600,47800,46550,46600,66418,-2.100840336134454
20150310,46650,47200,45900,45900,47408,-1.502145922746781
20150311,45600,46800,45300,46500,45176,1.3071895424836601
20150312,46400,47200,46350,47100,40102,1.2903225806451613
20150313,47150,47700,47050,47150,68867,0.10615711252653928
20150316,47200,47500,46750,47050,42739,-0.2120890774125133
20150317,47100,47650,47050,47300,50351,0.5313496280552604
20150318,47300,48000,46850,46850,73037,-0.9513742071881607
20150319,46850,46900,43800,45150,183259,-3.628601921024546
20150320,45400,46100,45100,45300,65902,0.33222591362126247
20150323,45150,45750,45150,45300,47764,0.0
20150324,45100,45300,44400,45100,44979,-0.44150110375275936
20150325,45150,45850,45150,45400,42932,0.6651884700665188
20150326,45450,45800,45400,45800,46896,0.881057268722467
20150327,45900,46000,44850,45250,43056,-1.2008733624454149
20150330,45250,45550,44650,45200,30970,-0.11049723756906078
20150331,45600,45850,45250,45650,35015,0.995575221238938
20150401,45750,45900,45150,45300,45446,-0.7667031763417306
20150402,45350,45750,45200,45300,40690,0.0
20150403,45600,46850,45150,46550,81272,2.759381898454746
20150406,46800,47300,46250,46400,47757,-0.322234156820623
20150407,46650,46950,45800,46350,49091,-0.10775862068965517
20150408,46550,46800,46250,46500,72890,0.3236245954692557
20150409,46750,47200,46450,47200,91872,1.5053763440860215
20150410,47250,48800,47250,47550,185684,0.7415254237288136
20150413,48000,48300,46800,47700,95701,0.31545741324921134
20150414,48000,48200,46900,46950,84598,-1.5723270440251573
20150415,46900,47300,46400,46950,69849,0.0
20150416,47550,47550,46700,47100,70991,0.3194888178913738
20150417,47400,48000,47100,47950,101584,1.8046709129511678
20150420,47600,49600,47550,48750,205418,1.6684045881126173
20150421,49200,49300,48150,48950,91602,0.41025641025641024
20150422,48950,53700,48000,51500,583823,5.209397344228805
20150423,51000,52000,48000,48050,364076,-6.699029126213592
20150424,47900,49150,47900,48300,114661,0.5202913631633715
20150427,48150,49100,48150,48850,85069,1.1387163561076603
20150428,48850,49000,48200,48250,76471,-1.2282497441146365
20150429,48500,50900,48250,48800,175725,1.1398963730569949
20150430,49000,51300,49000,49400,189057,1.2295081967213115
20150504,50200,50500,49150,49750,71244,0.708502024291498
20150506,49350,49900,49150,49250,71386,-1.0050251256281406
20150507,49200,49750,48000,48600,69639,-1.3197969543147208
20150508,49000,49700,48300,49500,64335,1.8518518518518516
20150511,49500,50500,49250,50400,114040,1.8181818181818181
20150512,50500,51900,49500,49800,158313,-1.1904761904761905
20150513,49850,50100,49000,49650,57288,-0.30120481927710846
20150514,50000,51900,49800,51900,150805,4.531722054380665
20150515,51700,52100,50700,51400,100083,-0.9633911368015413
20150518,51700,52200,50200,50200,105007,-2.3346303501945527
20150519,50600,51200,49750,50100,74670,-0.199203187250996
20150520,50800,52200,50300,51100,233196,1.996007984031936
20150521,51100,51500,50300,50400,75384,-1.36986301369863
20150522,51000,51000,49950,50500,76497,0.1984126984126984
